"","age_group","sex","miles","acc_inv"
"832","(16,18]","F","2","0"
"833","(16,18]","F","2","0"
"834","(16,18]","M","3","0"
"835","(16,18]","F","3","0"
"836","(18,21]","F",NA,"0"
"837","(18,21]","M","3","0"
"838","(16,18]","F",NA,"0"
"839","(21,80]","F","3","0"
"840","(16,18]","F","2","0"
"841","(18,21]","F","2","0"
"842","(18,21]","M","3","0"
"843","(18,21]","F","3","0"
"844","(16,18]","M","3","0"
"845","(21,80]","M","3","1+"
"846","(16,18]","M","3","0"
"847","(21,80]","F","2","0"
"848","(21,80]","M","3","0"
"849","(21,80]","F","2","0"
"850","(16,18]","M","2","0"
"851","(16,18]","M","1","1+"
"852","(16,18]","F","2","0"
"853","(16,18]","F","1","0"
"854","(18,21]","F","3","1+"
"855","(16,18]","F",NA,"0"
"856","(18,21]","F","3","0"
