"","sex","cohort","sent","wave1","wave2","wave3","wave4"
"551","M",4,1,1,1,1,1
"552","F",9,0,0,0,0,NA
"553","F",6,0,0,0,0,0
"554","F",15,1,0,1,NA,NA
"555","F",1,0,0,0,0,0
"556","F",3,0,0,0,0,0
"557","F",12,0,0,0,0,NA
"558","M",7,0,0,0,0,0
"559","F",8,0,0,0,0,0
"560","M",2,0,0,0,0,0
"561","F",8,1,1,1,1,1
"562","F",6,0,0,0,0,0
"563","F",1,0,0,0,0,0
"564","F",7,0,0,0,0,0
"565","F",2,0,0,0,0,0
"566","M",15,0,0,0,NA,NA
"567","M",3,0,0,0,0,0
"568","F",4,0,0,0,0,0
"569","F",9,0,0,0,0,NA
"570","M",1,0,0,0,0,0
"571","F",10,0,0,0,0,NA
"572","F",1,0,0,0,0,0
"573","F",7,0,0,0,0,0
"574","M",5,0,0,0,0,0
"575","M",2,0,0,0,0,0
"576","F",7,0,0,0,0,0
"577","F",3,0,0,0,0,0
"578","M",14,0,0,0,NA,NA
"579","M",4,0,0,0,0,0
"580","M",15,0,0,0,NA,NA
"581","M",16,0,0,0,NA,NA
"582","M",9,0,0,0,0,NA
"583","M",2,0,0,0,0,0
"584","M",6,0,0,0,0,0
"585","M",4,0,0,0,0,0
"586","F",10,0,0,0,0,NA
"587","F",1,0,0,0,0,0
"588","F",1,0,0,0,0,0
"589","F",1,0,0,0,0,0
"590","F",8,0,0,0,0,0
"591","M",14,1,1,0,NA,NA
"592","F",12,1,1,1,0,NA
"593","F",11,1,0,0,0,NA
"594","F",8,0,0,0,0,0
"595","M",4,0,0,0,0,0
"596","F",13,0,0,0,NA,NA
"597","M",2,0,0,0,0,0
"598","F",7,0,0,0,0,0
"599","M",8,0,0,0,0,0
"600","M",13,0,0,0,NA,NA
"601","M",4,0,0,0,0,0
"602","F",4,1,1,0,0,0
"603","M",4,0,0,0,0,0
"604","F",2,1,1,0,1,1
"605","F",10,0,0,0,0,NA
"606","M",15,1,0,0,NA,NA
"607","F",1,0,0,0,0,0
"608","M",14,1,0,0,NA,NA
"609","M",11,0,0,0,0,NA
"610","F",7,1,0,0,1,1
"611","M",2,0,0,0,0,0
"612","F",1,0,0,0,0,0
"613","M",8,0,0,0,0,0
"614","F",2,0,0,0,0,0
"615","M",2,0,0,0,0,0
"616","M",9,1,0,0,0,NA
"617","M",1,0,0,0,0,0
"618","F",10,0,0,0,0,NA
"619","F",2,0,0,0,0,0
"620","F",12,0,0,0,0,NA
"621","F",2,0,0,0,0,0
"622","F",2,0,0,0,0,0
"623","M",1,0,0,0,0,0
"624","M",7,0,0,0,0,0
"625","F",9,0,0,0,0,NA
"626","F",7,0,0,0,0,0
"627","F",1,0,0,0,0,0
