"","sex","ef_age","new_age","acc_inv"
"404","F","(18,22]","[16,19]","0"
"405","M","[16,18]","[16,19]","0"
"406","F","[16,18]","[16,19]","0"
"407","F","[16,18]","[16,19]","0"
"408","F","[16,18]","[16,19]","0"
"409","F","(18,22]","(19,33]","1+"
"410","M","(22,80]","(19,33]","0"
"411","F","[16,18]","[16,19]","0"
"412","F","(22,80]","(33,80]","0"
"413","F","(18,22]","(19,33]","0"
"414","M","[16,18]","[16,19]","0"
"415","M","[16,18]","[16,19]","1+"
"416","F","(22,80]","(19,33]","0"
"417","M","(18,22]","[16,19]","0"
"418","F","(22,80]","(19,33]","0"
"419","M","[16,18]","[16,19]","0"
"420","F","(18,22]","[16,19]","0"
"421","M","[16,18]","[16,19]","0"
"422","F","[16,18]","[16,19]","0"
"423","F","(22,80]","(19,33]","0"
"424","M","(22,80]","(19,33]","0"
"425","M","[16,18]","[16,19]","0"
"426","F","[16,18]","[16,19]","0"
"427","M","[16,18]","[16,19]","0"
"428","M","[16,18]","[16,19]","0"
"429","F","(22,80]","(33,80]","0"
"430","M","[16,18]","[16,19]","0"
"431","F","[16,18]","[16,19]","0"
"432","M","[16,18]","[16,19]","0"
"433","F","[16,18]","[16,19]","0"
"434","M","[16,18]","[16,19]","0"
"435","F","(18,22]","(19,33]","0"
"436","F","[16,18]","[16,19]","0"
"437","M","[16,18]","[16,19]","0"
"438","F","(18,22]","[16,19]","0"
"439","F","(22,80]","(19,33]","0"
"440","M","[16,18]","[16,19]","0"
"441","M","(22,80]","(33,80]","0"
"442","M","[16,18]","[16,19]","0"
"443","F","[16,18]","[16,19]","0"
"444","F","(18,22]","(19,33]","0"
"445","M","[16,18]","[16,19]","0"
"446","M","[16,18]","[16,19]","0"
"447","M","(22,80]","(33,80]","0"
"448","F","(22,80]","(19,33]","0"
"449","M","[16,18]","[16,19]","1+"
"450","F","[16,18]","[16,19]","0"
"451","M","[16,18]","[16,19]","0"
"452","M","[16,18]","[16,19]","0"
"453","F","(22,80]","(19,33]","0"
"454","M","(22,80]","(33,80]","0"
"455","M","(18,22]","[16,19]","0"
"456","M","(22,80]","(33,80]","0"
"457","F","(18,22]","(19,33]","0"
"458","F","[16,18]","[16,19]","0"
"459","F","[16,18]","[16,19]","0"
"460","F","(22,80]","(33,80]","0"
"461","M","(22,80]","(33,80]","0"
"462","F","(18,22]","[16,19]","0"
"463","F","[16,18]","[16,19]","0"
"464","F","[16,18]","[16,19]","0"
"465","F","(18,22]","[16,19]","0"
"466","F","(22,80]","(19,33]","0"
"467","F","[16,18]","[16,19]","0"
"468","F","[16,18]","[16,19]","0"
"469","F","[16,18]","[16,19]","0"
"470","F","[16,18]","[16,19]","0"
"471","F","[16,18]","[16,19]","0"
"472","F","[16,18]","[16,19]","0"
"473","M","[16,18]","[16,19]","1+"
"474","F","(22,80]","(19,33]","0"
"475","M","[16,18]","[16,19]","0"
"476","F","[16,18]","[16,19]","0"
"477","F","[16,18]","[16,19]","0"
"478","M","[16,18]","[16,19]","0"
"479","F","(18,22]","[16,19]","0"
"480","M","[16,18]","[16,19]","1+"
"481","F","(22,80]","(19,33]","0"
"482","M","[16,18]","[16,19]","0"
"483","F","(22,80]","(19,33]","0"
"484","M","[16,18]","[16,19]","0"
"485","M","[16,18]","[16,19]","0"
"486","F","(22,80]","(19,33]","0"
"487","M","[16,18]","[16,19]","0"
"488","M","[16,18]","[16,19]","0"
"489","M","(22,80]","(19,33]","0"
"490","F","[16,18]","[16,19]","0"
"491","F","(18,22]","(19,33]","0"
"492","F","[16,18]","[16,19]","0"
"493","F","(22,80]","(19,33]","0"
"494","M","[16,18]","[16,19]","0"
"495","F","(18,22]","[16,19]","0"
"496","F","[16,18]","[16,19]","0"
"497","M","(22,80]","(33,80]","0"
"498","F","(22,80]","(33,80]","0"
"499","M","[16,18]","[16,19]","1+"
"500","F","[16,18]","[16,19]","0"
"501","F","(18,22]","[16,19]","0"
"502","F","[16,18]","[16,19]","0"
"503","F","(18,22]","[16,19]","1+"
"504","M","(22,80]","(19,33]","0"
"505","F","(22,80]","(19,33]","0"
"506","M","[16,18]","[16,19]","1+"
"507","M","[16,18]","[16,19]","0"
"508","M","[16,18]","[16,19]","0"
"509","F","(22,80]","(19,33]","0"
"510","F","[16,18]","[16,19]","0"
"511","M","(18,22]","[16,19]","0"
"512","F","[16,18]","[16,19]","0"
"513","M","(18,22]","(19,33]","0"
"514","F","[16,18]","[16,19]","0"
"515","M","[16,18]","[16,19]","0"
"516","M","(22,80]","(33,80]","0"
"517","F","(18,22]","[16,19]","0"
"518","M","[16,18]","[16,19]","0"
"519","M","(18,22]","(19,33]","0"
"520","F","[16,18]","[16,19]","0"
"521","M","[16,18]","[16,19]","0"
"522","M","[16,18]","[16,19]","0"
"523","M","[16,18]","[16,19]","0"
"524","M","[16,18]","[16,19]","0"
"525","F","(18,22]","[16,19]","0"
"526","M","(22,80]","(19,33]","0"
"527","M","(18,22]","[16,19]","0"
"528","F","[16,18]","[16,19]","0"
"529","M","[16,18]","[16,19]","0"
"530","F","[16,18]","[16,19]","0"
"531","F","(22,80]","(19,33]","0"
"532","F","[16,18]","[16,19]","0"
"533","F","[16,18]","[16,19]","0"
"534","F","(18,22]","(19,33]","0"
"535","F","[16,18]","[16,19]","0"
"536","M","[16,18]","[16,19]","0"
"537","M","[16,18]","[16,19]","0"
"538","M","(22,80]","(19,33]","0"
"539","F","[16,18]","[16,19]","0"
"540","M","[16,18]","[16,19]","1+"
"541","F","(18,22]","(19,33]","0"
"542","M","(18,22]","[16,19]","0"
"543","M","[16,18]","[16,19]","0"
"544","F","(22,80]","(33,80]","0"
"545","M","(22,80]","(19,33]","0"
"546","F","[16,18]","[16,19]","0"
"547","M","[16,18]","[16,19]","1+"
"548","F","(18,22]","(19,33]","0"
"549","M","[16,18]","[16,19]","0"
"550","M","(22,80]","(19,33]","0"
"551","M","[16,18]","[16,19]","1+"
"552","M","(22,80]","(19,33]","0"
"553","F","(22,80]","(19,33]","0"
"554","M","(18,22]","[16,19]","0"
"555","F","(18,22]","(19,33]","0"
"556","F","(18,22]","(19,33]","0"
"557","M","(18,22]","(19,33]","0"
"558","M","[16,18]","[16,19]","0"
"559","M","[16,18]","[16,19]","0"
"560","M","(18,22]","[16,19]","0"
"561","F","(18,22]","[16,19]","0"
"562","M","[16,18]","[16,19]","0"
"563","F","(18,22]","[16,19]","0"
"564","M","(22,80]","(33,80]","0"
"565","F","(22,80]","(33,80]","0"
"566","M","[16,18]","[16,19]","0"
"567","F","[16,18]","[16,19]","0"
"568","F","(22,80]","(19,33]","0"
"569","F","(18,22]","(19,33]","0"
"570","F","[16,18]","[16,19]","0"
"571","F","(22,80]","(19,33]","0"
"572","M","[16,18]","[16,19]","0"
"573","F","(18,22]","[16,19]","0"
"574","F","[16,18]","[16,19]","0"
"575","M","[16,18]","[16,19]","0"
"576","F","[16,18]","[16,19]","0"
