"","int_age","sex","freq","acc_inv"
"987",35,"F","1","0"
"988",17,"M","1","0"
"989",17,"F","1","0"
"990",17,"F","1","0"
"991",17,"M","2","0"
"992",19,"F","2","0"
"993",51,"M","2","0"
"994",18,"F","1","0"
"995",23,"F","1","0"
"996",18,"F","2","0"
"997",33,"M","1","0"
"998",17,"M","1","0"
"999",19,"F","1","0"
"1000",40,"F","3","0"
"1001",55,"F","2","0"
"1002",18,"F","1","0"
"1003",18,"M","1","0"
"1004",35,"M","1","0"
"1005",18,"F","3","0"
"1006",18,"F","1","0"
"1007",19,"F","1","0"
"1008",18,"F","2","0"
"1009",17,"M","1","0"
"1010",19,"F","1","0"
"1011",26,"F","3","0"
"1012",38,"F","1","0"
"1013",17,"M","3","0"
"1014",31,"F","2","0"
"1015",19,"M","1","1+"
"1016",27,"F","1","0"
"1017",17,"M","1","0"
"1018",18,"M","1","0"
"1019",67,"M","2","0"
"1020",20,"M","2","0"
"1021",20,"M","1","0"
"1022",18,"F","3","0"
"1023",37,"F","1","0"
"1024",55,"M","1","0"
"1025",20,"F","1","0"
"1026",17,"F","1","0"
"1027",20,"F","1","0"
"1028",36,"M","1","0"
"1029",18,"M","3","0"
"1030",32,"F","1","0"
"1031",23,"F","1","0"
"1032",33,"M","2","0"
"1033",18,"M","3","0"
"1034",18,"F","1","0"
"1035",18,"F","2","0"
"1036",19,"F","1","0"
"1037",18,"M","3","0"
"1038",17,"M","1","0"
"1039",18,"F","2","0"
"1040",18,"F","1","0"
"1041",21,"M","1","0"
"1042",40,"F","3","0"
"1043",19,"F","1","1+"
"1044",18,"F","1","1+"
"1045",46,"F","3","0"
"1046",46,"F","1","0"
"1047",18,"F","1","0"
"1048",23,"M","1","1+"
"1049",31,"M","2","0"
"1050",17,"M","1","1+"
"1051",24,"M","1","0"
"1052",22,"M","1","0"
"1053",17,"M","2","0"
"1054",17,"M","1","1+"
"1055",17,"M","3","0"
"1056",18,"F","2","0"
"1057",18,"F","1","0"
"1058",18,"F","1","0"
"1059",18,"F","1","0"
